,ID,UPDATE,STATUS,MOTIVE,INTEREST_RATE,AMOUNT,CAT,TXN,CP,DELIVERY_SCORE
0,1,59:50.4,RESPONSE,,,,,,,
1,1,46:41.4,RISK,,,,,,,
2,1,14:50.5,APPROVED,DIGITAL,40,1300,49,,,
3,1,08:23.4,,,,,,434.1120658,,
4,2,00:00.0,,,,,,,,
5,3,00:00.0,,,,,,,,
6,4,01:07.0,RESPONSE,,,,,,,
7,4,27:50.6,RISK,,,,,,,
8,4,49:54.2,APPROVED,PLASTIC,32,10000,39,,,
9,4,00:52.7,DELIVERED,,,,,,11560,3
10,4,25:47.0,,,,,,360.5041733,,
11,4,22:22.1,,,,,,175.0617647,,
12,4,44:53.3,,,,,,3719.618354,,
13,4,53:04.3,,,,,,1171.027491,,
14,5,59:27.9,RESPONSE,,,,,,,
15,5,53:05.1,RISK,,,,,,,
16,5,27:30.7,APPROVED,PLASTIC,46,15900,48,,,
17,5,08:11.0,DELIVERED,,,,,,53100,0
18,7,37:24.7,RESPONSE,,,,,,,
19,7,46:35.8,RISK,,,,,,,
20,7,21:41.5,REJECTED,USAGE,,,,,,
21,8,09:03.5,RESPONSE,,,,,,,
22,8,51:49.9,RISK,,,,,,,
23,8,44:07.4,APPROVED,PLASTIC,40,3300,42,,,
24,8,04:53.4,DELIVERED,,,,,,11560,2
25,10,00:00.0,,,,,,,,
26,11,20:14.9,RESPONSE,,,,,,,
27,11,26:19.8,RISK,,,,,,,
28,11,00:23.9,APPROVED,PLASTIC,32,49800,32,,,
29,11,55:00.5,DELIVERED,,,,,,64000,0
30,11,42:49.0,,,,,,2201.975645,,
31,11,11:22.1,,,,,,401.9173359,,
32,11,36:26.3,,,,,,45.01147306,,
33,11,53:34.7,,,,,,2691.108286,,
34,11,41:00.7,,,,,,911.9787299,,
35,12,00:00.0,,,,,,,,
36,14,03:52.8,RESPONSE,,,,,,,
37,14,05:06.8,RISK,,,,,,,
38,14,32:10.7,APPROVED,PLASTIC,31,2700,46,,,
39,14,17:29.5,DELIVERED,,,,,,11560,4
40,15,18:53.9,RESPONSE,,,,,,,
41,15,29:50.0,RISK,,,,,,,
42,15,49:11.7,REJECTED,USAGE,,,,,,
43,16,36:40.6,RESPONSE,,,,,,,
44,16,36:23.3,RISK,,,,,,,
45,16,09:25.6,APPROVED,PLASTIC,38,10700,44,,,
46,16,37:41.8,DELIVERED,,,,,,11560,2
47,17,52:10.0,RESPONSE,,,,,,,
48,17,48:24.1,RISK,,,,,,,
49,17,33:53.6,APPROVED,PLASTIC,48,6600,48,,,
50,17,23:58.8,DELIVERED,,,,,,44620,3
51,17,16:44.9,,,,,,28.17714529,,
52,17,51:42.0,,,,,,123.8627528,,
53,18,04:06.4,RESPONSE,,,,,,,
54,18,23:47.9,RISK,,,,,,,
55,18,58:54.4,APPROVED,PLASTIC,36,16300,48,,,
56,18,01:41.0,DELIVERED,,,,,,53100,2
57,18,35:35.1,,,,,,1131.122678,,
58,19,10:58.6,RESPONSE,,,,,,,
59,19,08:59.4,RISK,,,,,,,
60,19,22:12.2,APPROVED,PLASTIC,38,21200,35,,,
61,19,03:32.4,DELIVERED,,,,,,11560,0
62,20,20:08.4,RESPONSE,,,,,,,
63,20,12:18.9,RISK,,,,,,,
64,20,45:56.9,APPROVED,PLASTIC,32,56200,48,,,
65,20,13:47.3,DELIVERED,,,,,,44100,2
66,20,40:00.8,,,,,,18.24583376,,
67,20,25:19.5,,,,,,261.9489261,,
68,22,44:03.7,RESPONSE,,,,,,,
69,22,27:23.2,RISK,,,,,,,
70,22,08:16.6,REJECTED,USAGE,,,,,,
71,23,07:11.9,RESPONSE,,,,,,,
72,23,42:38.4,RISK,,,,,,,
73,23,43:55.4,REJECTED,MOP,,,,,,
74,24,20:52.8,RESPONSE,,,,,,,
75,24,47:07.4,RISK,,,,,,,
76,24,09:12.6,REJECTED,INCOME,,,,,,
77,26,48:12.1,RESPONSE,,,,,,,
78,26,58:57.8,RISK,,,,,,,
79,26,02:55.8,APPROVED,PLASTIC,36,14900,47,,,
80,26,13:56.8,DELIVERED,,,,,,44100,3
81,27,24:42.0,RESPONSE,,,,,,,
82,27,13:53.5,RISK,,,,,,,
83,27,49:44.9,REJECTED,INCOME,,,,,,
84,28,11:37.9,RESPONSE,,,,,,,
